Misc_PD,Kickoffs_Lg,Extra Points_Pct,Passing_Att,Res,Punts_Blk,Kickoff Returns_Yds,Receiving_Tar,Punt Returns_Yds,Field Goals_Lg,Lg,Passing_Sack,Punt Returns_Lg,Receiving_Rec,Kickoff Returns_Num,Passing_Loss,Touchdowns_P,Opponent Returns_RYds,Punt Returns_Avg,Rushing_TD,Passing_Cmp,Recoveries_Own,Passing_Int,Interceptions_TD,Punts_Lg,Kickoffs_OB,Opp. Returns_TD,Touchdowns_IR,Kickoffs_TB,Kickoffs_TBLZ,Punt Returns_Num,Kickoff Returns_TD,Field Goals_50+,Punt Returns_FC,Punts_Yds,Field Goals_20-29,Sacks_Sack,Kickoff Returns_Lg,Rushing_Gain,Rushing_Att,Kickoff Returns_FC,Field Goals_FGA,Opp. Returns_RYds,Passing_Pct,Opponent Returns_Ret,Punt Returns_TD,Opponent Returns_TD,Passing_YPA,Date,Touchdowns_R,Tackles_Ast,Kickoffs_Avg,Misc_QBH,Recoveries_Opp,Field Goals_FGM,Rushing_Avg,Punts_50+,Punts_Avg,Passing_Yds,Field Goals_0-19,Kickoffs_Yds,Interceptions_Int,Returns_Yds,Punts_Net,Rushing_FD,Touchdowns_PR,Passing_Int%I%,Receiving_20+,Pts,Field Goals_30-39,Passing_Rate,Punts_In20,Extra Points_XPA,Returns_TD,Kicking_PAT,Field Goals_40-49,Fumbles_Fum,Fumbles_Forced,Receiving_FD,Receiving_TD,Rushing_Yds,Kickoffs_Num,Interceptions_Lg,Kickoffs_Short,Punts_Dwn,Field Goals_Pct,Recoveries_Tot,Passing_FD,Touchdowns_KR,Tackles_Solo,Rushing_Loss,Opp. Returns_Ret,Receiving_Avg,Kickoff Returns_Avg,Opp,Touchdowns_Tot,Fumbles_Lost,Misc_Pts,Passing_20+,Receiving_YAC,Extra Points_XPM,Punts_TB,Receiving_Yds,Onside Kicks_OSR,Passing_TD%T%,Tackles_Tot,Punts_FC,Passing_TD,Misc_Saf,Punts_Num,Kicking_FG,Sacks_YdsL,Receiving_Lg,Interceptions_Avg,Team,Punts_OB,Onside Kicks_OSK,Passing_Lg,Interceptions_Yds,Rushing_Lg,Touchdowns_FR,Kickoffs_In20,Rushing_10+,Player_Name,Misc_Conv
,,,,"W, 27-23",,,3,,,NFL,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/15,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,0,0,,,,,,,,,,,,,16.00,,@ DET,,,,,0,,,16,,,,,,,,,,16,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 28-7",,,1,,,NFL,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/13/15,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,0,0,,,,,,,,,,,,,0.00,,vs DAL,,,,,0,,,0,,,,,,,,,,0,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 30-20",,,3,,,NFL,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/20/15,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,2,0,,,,,,,,,,,,,11.00,,@ OAK,,,,,5,,,33,,,,,,,,,,15,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 38-8",,,2,,,NFL,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/27/15,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,0,0,,,,,,,,,,,,,5.00,,@ ARI,,,,,0,,,5,,,,,,,,,,5,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 20-13",,,0,,,NFL,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/03/16,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,0,0,,,,,,,,,,,,,0.00,,vs MIN,,,,,0,,,0,,,,,,,,,,0,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 35-18",,,4,,,NFL,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/10/16,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,0,0,,,,,,,,,,,,,7.00,,@ WAS,,,,,6,,,14,,,,,,,,,,9,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 26-20",,,12,,,NFL,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/16/16,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,4,0,,,,,,,,,,,,,13.75,,@ ARI,,,,,21,,,55,,,,,,,,,,18,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 22-11",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/13/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ NE,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 24-19",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/23/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ PIT,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 39-26",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/29/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vs PHI,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 38-10",,0,,,,NFL,,,,0,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,,,,,,,09/03/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,vs NO,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 17-3",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/04/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ SF,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 24-10",,0,,,,NFL,,,,0,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,,,,,,,10/11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,vs STL,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 27-20",,30,,,,NFL,,,,1,,,,,,,,,,,,,,,,,0,,,,,,30,,,0,,,,,,,,10/18/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,vs SD,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 29-10",,22,,,,NFL,,,,1,,,,,,,,,,,,,,,,,0,,,,,,22,,,0,,,,,,,,11/01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,@ DEN,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 37-29",,0,,,,NFL,,,,0,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,,,,,,,11/08/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,@ CAR,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 18-16",,0,,,,NFL,,,,0,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,,,,,,,11/15/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,vs DET,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 30-13",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/22/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ MIN,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 17-13",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/26/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vs CHI,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 27-23",,0,,,,NFL,,,,0,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,,,,,,,12/03/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,@ DET,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 28-7",,0,,,,NFL,,,,0,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,,,,,,,12/13/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,vs DAL,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 30-20",,0,,,,NFL,,,,0,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,,,,,,,12/20/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,@ OAK,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 38-8",,0,,,,NFL,,,,0,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,,,,,,,12/27/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,@ ARI,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 20-13",,0,,,,NFL,,,,0,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,,,,,,,01/03/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,vs MIN,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 35-18",,0,,,,NFL,,,,0,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,,,,,,,01/10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,@ WAS,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 26-20",,0,,,,NFL,,,,0,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,,,,,,,01/16/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,@ ARI,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 22-11",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/13/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ NE,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 24-19",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/23/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ PIT,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 39-26",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/29/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vs PHI,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 38-10",,,,35,,NFL,,17,,,,,,11.67,,,,,,,,,,,,3,,,1,,,,,,,,,,,,0,,,09/03/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vs NO,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 17-3",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/04/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ SF,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 24-10",,,,0,,NFL,,0,,,,,,0.00,,,,,,,,,,,,0,,,0,,,,,,,,,,,,0,,,10/11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vs STL,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 27-20",,,,0,,NFL,,0,,,,,,0.00,,,,,,,,,,,,0,,,0,,,,,,,,,,,,0,,,10/18/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vs SD,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 29-10",,,,0,,NFL,,0,,,,,,0.00,,,,,,,,,,,,0,,,0,,,,,,,,,,,,0,,,11/01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ DEN,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 37-29",,,,0,,NFL,,0,,,,,,0.00,,,,,,,,,,,,0,,,0,,,,,,,,,,,,0,,,11/08/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ CAR,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 18-16",,,,0,,NFL,,0,,,,,,0.00,,,,,,,,,,,,0,,,0,,,,,,,,,,,,0,,,11/15/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vs DET,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 30-13",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/22/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ MIN,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 17-13",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/26/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vs CHI,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 27-23",,,,0,,NFL,,0,,,,,,0.00,,,,,,,,,,,,0,,,0,,,,,,,,,,,,0,,,12/03/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ DET,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 28-7",,,,0,,NFL,,0,,,,,,0.00,,,,,,,,,,,,0,,,0,,,,,,,,,,,,0,,,12/13/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vs DAL,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 30-20",,,,0,,NFL,,0,,,,,,0.00,,,,,,,,,,,,0,,,0,,,,,,,,,,,,0,,,12/20/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ OAK,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 38-8",,,,0,,NFL,,0,,,,,,0.00,,,,,,,,,,,,0,,,0,,,,,,,,,,,,0,,,12/27/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ ARI,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 20-13",,,,0,,NFL,,0,,,,,,0.00,,,,,,,,,,,,0,,,1,,,,,,,,,,,,0,,,01/03/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vs MIN,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 35-18",,,,0,,NFL,,0,,,,,,0.00,,,,,,,,,,,,0,,,0,,,,,,,,,,,,0,,,01/10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ WAS,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 26-20",,,,0,,NFL,,0,,,,,,0.00,,,,,,,,,,,,0,,,1,,,,,,,,,,,,0,,,01/16/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ ARI,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 22-11",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/13/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ NE,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 24-19",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/23/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ PIT,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 39-26",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/29/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vs PHI,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 38-10",,,,,,NFL,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,09/03/15,0,,,,,,,,,,,,,,,,0,,,,,,,,,0/0,,,,,,,,,,,,,,0,,,,,,vs NO,0,,0,,,,,,,,,,,0,,0/0,,,,GB,,,,,,0,,,Jared Abbrederis,0
,,,,"W, 17-3",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/04/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ SF,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 24-10",,,,,,NFL,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,10/11/15,0,,,,,,,,,,,,,,,,0,,,,,,,,,/,,,,,,,,,,,,,,0,,,,,,vs STL,0,,0,,,,,,,,,,,0,,/,,,,GB,,,,,,0,,,Jared Abbrederis,0
,,,,"W, 27-20",,,,,,NFL,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,10/18/15,0,,,,,,,,,,,,,,,,0,,,,,,,,,0/0,,,,,,,,,,,,,,0,,,,,,vs SD,0,,0,,,,,,,,,,,0,,0/0,,,,GB,,,,,,0,,,Jared Abbrederis,0
,,,,"L, 29-10",,,,,,NFL,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,11/01/15,0,,,,,,,,,,,,,,,,0,,,,,,,,,0/0,,,,,,,,,,,,,,0,,,,,,@ DEN,0,,0,,,,,,,,,,,0,,0/0,,,,GB,,,,,,0,,,Jared Abbrederis,0
,,,,"L, 37-29",,,,,,NFL,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,11/08/15,0,,,,,,,,,,,,,,,,0,,,,,,,,,/,,,,,,,,,,,,,,0,,,,,,@ CAR,0,,0,,,,,,,,,,,0,,/,,,,GB,,,,,,0,,,Jared Abbrederis,0
,,,,"L, 18-16",,,,,,NFL,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,11/15/15,0,,,,,,,,,,,,,,,,0,,,,,,,,,0/0,,,,,,,,,,,,,,0,,,,,,vs DET,0,,0,,,,,,,,,,,0,,0/0,,,,GB,,,,,,0,,,Jared Abbrederis,0
,,,,"W, 30-13",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/22/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ MIN,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"L, 17-13",,,,,,NFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/26/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vs CHI,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,Jared Abbrederis,
,,,,"W, 27-23",,,,,,NFL,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,12/03/15,0,,,,,,,,,,,,,,,,0,,,,,,,,,0/0,,,,,,,,,,,,,,0,,,,,,@ DET,0,,0,,,,,,,,,,,0,,0/0,,,,GB,,,,,,0,,,Jared Abbrederis,0
,,,,"W, 28-7",,,,,,NFL,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,12/13/15,0,,,,,,,,,,,,,,,,0,,,,,,,,,0/0,,,,,,,,,,,,,,0,,,,,,vs DAL,0,,0,,,,,,,,,,,0,,0/0,,,,GB,,,,,,0,,,Jared Abbrederis,0
,,,,"W, 30-20",,,,,,NFL,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,12/20/15,0,,,,,,,,,,,,,,,,0,,,,,,,,,0/0,,,,,,,,,,,,,,0,,,,,,@ OAK,0,,0,,,,,,,,,,,0,,0/0,,,,GB,,,,,,0,,,Jared Abbrederis,0
